word,n_char,n_vowels
abrogować,9,4
abrupcja,8,3
abruzyjski,10,4
abrys,5,2
absces,6,2
abscysyna,9,4
abscysynowy,11,5
absencja,8,3
absencyjny,10,4
absenteista,11,5
absenteistka,12,5
absenteizm,10,4
absentować,10,4
absmak,6,2
absolucja,9,4
absolut,7,3
absolut,7,3
absolutniej,11,4
absolutność,11,4
absolutny,9,4
absolutorium,12,5
absolutoryjny,13,6
absolutysta,11,5
absolutystka,12,5
absolutystyczny,15,6
absolutyzacja,13,6
absolutyzm,10,4
absolutyzować,13,6
absolwencki,11,4
absolwenckość,13,4
absolwent,9,3
absolwent,9,3
absolwentka,11,4
absolwować,10,4
absorbancja,11,4
absorbat,8,3
absorbent,9,3
absorber,8,3
absorberowy,11,5
absorbować,10,4
absorbowalny,12,5
absorbujący,11,5
absorpcja,9,3
absorpcjometria,15,5
absorpcyjność,13,4
absorpcyjny,11,4
absta,5,2
abstrahować,11,4
abstrakcja,10,3
abstrakcjonista,15,5
abstrakcjonistka,16,5
abstrakcjonistyczny,19,6
abstrakcjonizm,14,4
abstrakcyjniej,14,4
abstrakcyjność,14,4
abstrakcyjny,12,4
abstrakt,8,2
abstraktowy,11,4
abstynencja,11,4
abstynencki,11,4
abstynenckość,13,4
abstynencyjny,13,5
abstynent,9,3
abstynentka,11,4
absurd,6,2
absurdalista,12,5
absurdalizacja,14,6
absurdalizować,14,6
absurdalniej,12,4
absurdalniejszy,15,5
absurdalność,12,4
absurdalny,10,4
absurdysta,10,4
absurdyzm,9,3
absurdzik,9,3
absyda,6,3
absydalny,9,4
absydowy,8,4
absynt,6,2
abszmak,7,2
abszminka,9,3
absztyfikant,12,4
abszyt,6,2
abszytować,10,4
abszytowy,9,4
abudżanka,9,4
abudżańczyk,11,4
abudżański,10,4
abudżyjczyk,11,4
abudżyjka,9,4
abudżyjski,10,4
abulia,6,3
abuliczka,9,4
abuliczny,9,4
abulik,6,3
abutilon,8,4
abuzabijczyk,12,5
abuzabijka,10,5
abuzabijski,11,5
abuzabijskość,13,5
abuzywność,10,4
abuzywny,8,4
abwehra,7,3
abwera,6,3
abwilczyk,9,3
abwilka,7,3
abwilski,8,3
abwilskość,10,3
aby,3,2
abysal,6,3
abysalny,8,4
ac,2,1
acai,4,3
acajou,6,4
acan,4,2
acani,5,3
acani,5,3
acanka,6,3
acariasis,9,4
accelerando,11,5
accent,6,2
accentato,9,4
acciaccato,10,4
acciaccatura,12,5
accompagnato,12,5
accord,6,2
accordare,9,4
account,7,3
accountant,10,4
accusativus,11,5
acedia,6,3
acefalia,8,4
acenaften,9,4
acenol,6,3
acer,4,2
acerola,7,4
acesulfam,9,4
acetabularia,12,6
acetabulum,10,5
acetal,6,3
acetaldehyd,11,5
acetalowy,9,5
acetamid,8,4
acetanilid,10,5
acetarsol,9,4
acetator,8,4
acetobacter,11,5
acetobakteria,13,6
acetofenon,10,5
acetoina,8,5
acetometr,9,4
aceton,6,3
acetonemia,10,5
acetonemiczny,13,6
acetonowy,9,5
acetonuria,10,5
acetyl,6,3
acetylacja,10,5
acetylen,8,4
acetylenek,10,5
acetylenki,10,5
acetylenownia,13,6
acetylenowy,11,6
acetyloaceton,13,7
acetyloacetonowy,16,9
acetyloceluloid,15,8
acetyloceluloidowy,18,10
acetyloceluloza,15,8
acetylocelulozowy,17,9
acetylocholina,14,7
acetylocholinoesteraza,22,11
acetylocholinowy,16,8
acetylofosforan,15,7
acetylokoenzym,14,7
acetylooctowy,13,7
acetylosalicylowy,17,9
acetylować,10,5
acetylowanie,12,6
acetylowy,9,5
ach,3,1
achać,5,2
achajski,8,3
achajskość,10,3
achalazja,9,4
achatina,8,4
acheiropita,11,6
acheiropoieta,13,7
achillea,8,4
achilles,8,3
achillesowy,11,5
achimenes,9,4
achira,6,3
achiralność,11,4
achiropita,10,5
achlorhydria,12,4
achnąć,6,2
acholia,7,3
achondroplazja,14,5
achondryt,9,3
achrodekstryna,14,5
achromat,8,3
achromatop,10,4
achromatopsja,13,5
achromatyczność,15,5
achromatyczny,13,5
achromatyna,11,5
achromatyzacja,14,6
achromatyzacyjny,16,7
achromatyzm,11,4
achromycyna,11,5
achtel,6,2
achterdek,9,3
achterluk,9,3
achterpik,9,3
achtersztag,11,3
achund,6,2
achy,4,2
achylia,7,3
acidhouse'owy,13,7
acidjazzowo,11,5
acidjazzowy,11,5
acidofil,8,4
acidofilność,12,5
acidofilny,10,5
acidofit,8,4
acidrockowo,11,5
acidrockowy,11,5
acidum,6,3
acmiola,7,3
acodin,6,3
aconitum,8,4
acpan,5,2
acpani,6,3
acrojoga,8,4
acroyoga,8,5
AcroYoga,8,3
actio,5,2
activité,8,3
activum,7,3
acydemia,8,4
acydofil,8,4
acydofilia,10,5
acydofilność,12,5
acydofilny,10,5
acydofit,8,4
acydofob,8,4
acydofobia,10,5
acydoliza,9,5
acydometria,11,5
acydoza,7,4
acydymetria,11,5
acykliczność,12,4
acykliczny,10,4
acyklowir,9,4
acyl,4,2
acylacja,8,4
acyloglicerol,13,6
acyloglicerole,14,7
acylokoenzym,12,6
acylotransferaza,16,7
acylotransferazy,16,7
acylować,8,4
acylowy,7,4
acz,3,1
aczaria,7,3
aczkolwiek,10,3
aczkolwiekby,12,4
aćarja,6,3
aćpan,5,2
aćpani,6,3
ad,2,1
adadżio,7,3
adadżio,7,3
adagietto,9,4
adagio,6,3
adagio,6,3
adagissimo,10,5
adagium,7,3
adaks,5,2
adalat,6,3
adalina,7,4
adaltonid,9,4
adamantan,9,4
adamaszek,9,4
adamaszkowy,11,5
adamellit,9,4
adamellitowy,12,6
adamianin,9,4
adamianka,9,4
adamici,7,4
adamita,7,4
adamitka,8,4
adamowski,9,4
adamowskość,11,4
adamowy,7,4
adamówecki,10,5
adamóweckość,12,5
adampolanin,11,5
adampolanka,11,5
adampolski,10,4
adamsyt,7,3
adamsytowy,10,5
adański,7,3
adapciak,8,3
adapidy,7,4
adaptabilność,13,5
adaptabilny,11,5
adaptacja,9,4
adaptacjonizm,13,5
adaptacyjność,13,5
adaptacyjny,11,5
adaptator,9,4
adaptatorka,11,5
adaptatorski,12,5
adaptatorskość,14,5
adaptatywny,11,5
adapter,7,3
adapterowy,10,5
adaptometr,10,4
adaptor,7,3
adaptor,7,3
adaptować,9,4
adaptowalny,11,5
adaś,4,2
adat,4,2
adblocker,9,3
adcult,6,2
addaks,6,2
addend,6,2
addenda,7,3
addio,5,2
additionality,13,6
addolcendo,10,4
addolorato,10,5
addukcja,8,3
addukcyjny,10,4
adduktor,8,3
addycja,7,3
addycyjny,9,4
addytywnie,10,4
addytywność,11,4
addytywny,9,4
adeemowski,10,5
adeemowskość,12,5
adekwatniej,11,4
adekwatniejszy,14,5
adekwatność,11,4
adekwatny,9,4
adelfofagia,11,5
adelfogamia,11,5
adenina,7,4
adeninowy,9,5
adenium,7,3
adenka,6,3
adenoid,7,4
adenomyoma,10,6
adenopatia,10,5
adenotom,8,4
adenotomia,10,5
adenowirus,10,5
adenozyna,9,5
adenozynodifosforan,19,9
adenozynodifosforowy,20,10
adenozynodwufosforowy,21,10
adenozynomonofosforan,21,10
adenozynomonofosforowy,22,11
adenozynotrifosforan,20,9
adenozynotrifosforowy,21,10
adenozynotrójfosfataza,22,10
adenozynotrójfosfatazy,22,10
adenozynotrójfosforan,21,9
adenozynotrójfosforowy,22,10
adenylan,8,4
adenylowy,9,5
adeńczyk,8,3
adeński,7,3
adeńskość,9,3
adept,5,2
adeptka,7,3
adermina,8,4
adherencja,10,4
adherent,8,3
adherentka,10,4
adhezja,7,3
adhezyjny,9,4
adhortacja,10,4
adiabata,8,4
adiabatyczny,12,5
adiabatyzm,10,4
adiacencki,10,4
adiacenckość,12,4
adiafora,8,4
adiafora,8,4
adiaforyczny,12,5
adiantowate,11,5
adiantowaty,11,5
adiantum,8,3
adiantyt,8,3
adiaterma,9,4
adidas,6,3
adidasek,8,4
adidasowy,9,5
adidasy,7,4
adideacja,9,5
adiectivum,10,4
adiektywizacja,14,6
adiektywizować,14,6
adiektywny,10,4
adieu,5,3
adinol,6,3
adios,5,2
adipocyt,8,4
adirato,7,4
adiu,4,2
adiudykacja,11,5
adiunkt,7,2
adiunktka,9,3
adiunktura,10,4
adiuretyna,10,5
adiustacja,10,4
adiustacyjny,12,5
adiustator,10,4
adiustatorka,12,5
adiustatorski,13,5
adiustatorskość,15,5
adiustować,10,4
adiutancik,10,4
adiutancki,10,4
adiutanckość,12,4
adiutant,8,3
adiutantka,10,4
adiutantować,12,5
adiutantura,11,5
adiuwant,8,3
adjektywizować,14,6
adjuwant,8,3
adjuwantowy,11,5
adleryzm,8,3
admin,5,2
admin,5,2
administracja,13,5
administracyjnopaństwowy,24,9
administracyjnoprawny,21,8
administracyjny,15,6
administrator,13,5
administratorka,15,6
administratorski,16,6
administratorskość,18,6
administratorstwo,17,6
administratorstwo,17,6
administratura,14,6
administratywista,17,7
administratywistka,18,7
administrować,13,5
adminka,7,3
admiracja,9,4
admiracyjny,11,5
admiralicja,11,5
admiralski,10,4
admiralskość,12,4
admiralstwo,11,4
admirał,7,3
admirał,7,3
admirałostwo,12,5
admirałowa,10,5
admirator,9,4
admiratorka,11,5
admirować,9,4
admisja,7,3
admitancja,10,4
admonicja,9,4
adnominalny,11,5
adnotacja,9,4
adnotować,9,4
adnumeratywny,13,6
adolescencja,12,5
adolescencyjny,14,6
adolescent,10,4
adoleskaria,11,5
adoniczny,9,4
adonidyna,9,5
adonijski,9,4
adonijskość,11,4
adonik,6,3
adonis,6,3
adonis,6,3
adonisowy,9,5
adopcja,7,3
adopcjanizm,11,4
adopcyjny,9,4
adoptacja,9,4
adoptować,9,4
adoracja,8,4
adoracyjny,10,5
adorant,7,3
adorator,8,4
adoratorka,10,5
adoratorki,10,5
adornować,9,4
adorować,8,4
adrenalina,10,5
adrenalinowy,12,6
adrenergiczny,13,5
adrenokortykotropina,20,9
adrenokortykotropowy,20,9
adrenolityczny,14,6
adres,5,2
adresacja,9,4
adresant,8,3
adresantka,10,4
adresarka,9,4
adresat,7,3
adresatka,9,4
adresatywny,11,5
adresik,7,3
adresograf,10,4
adresografia,12,5
adresomania,11,5
adresować,9,4
adresowalność,13,5
adresowalny,11,5
adresownik,10,4
adresowy,8,4
adresówka,9,4
adria,5,2
adrianopolski,13,5
adrianopolskość,15,5
adriatycki,10,4
adriatyckość,12,4
adryjski,8,3
adrymina,8,4
adscripticii,12,4
adsorbat,8,3
adsorbent,9,3
adsorber,8,3
adsorbować,10,4
adsorbowalny,12,5
adsorpcja,9,3
adsorpcyjny,11,4
adstrat,7,2
adstryngencja,13,4
adsubstantywny,14,5
aduański,8,4
adular,6,3
adularowy,9,5
adulator,8,4
adulterium,10,4
adultyzm,8,3
adverbium,9,3
advocaat,8,4
advocat,7,3
adwaita,7,4
adwajta,7,3
adware,6,3
adwekcja,8,3
adwekcyjny,10,4
adwent,6,2
adwentowy,9,4
adwentysta,10,4
adwentystka,11,4
adwentystyczny,14,5
adwentyści,10,4
adwentywny,10,4
adwentyzm,9,3
adwerbalizacja,14,6
adwerbalny,10,4
adwerbializacja,15,6
adwerbialny,11,4
adwerbium,9,3
adwersarka,10,4
adwersarz,9,3
adwokacik,9,4
adwokacina,10,5
adwokacina,10,5
adwokacki,9,4
adwokackość,11,4
adwokat,7,3
adwokat,7,3
adwokatka,9,4
adwokatowa,10,5
adwokatować,11,5
adwokatowy,10,5
adwokatura,10,5
adyfenina,9,5
adygejski,9,4
adygejskość,11,4
adygijski,9,4
adynamia,8,4
adynata,7,4
adypinian,9,4
adypinowy,9,5
adypocyt,8,4
adyton,6,3
adżantyjski,11,4
adżarski,8,3
adżarskość,10,3
adżika,6,3
adżmański,9,3
adżmerski,9,3
adżyka,6,3
aecki,5,3
aedicula,8,5
aegikranion,11,5
aelowiec,8,4
aelowski,8,4
aelowskość,10,4
aeolipila,9,6
aeolipile,9,6
aeolodikon,10,6
aeolodion,9,5
aeolomelodikon,14,8
aeolopantaleon,14,8
aeracja,7,4
aeral,5,3
aerator,7,4
aerenchyma,10,5
aeroakustyka,12,7
aerob,5,3
aerobic,7,4
aerobik,7,4
aerobiolog,10,5
aerobiologia,12,7
aerobiont,9,4
aerobioza,9,5
aeroboks,8,4
aerobowo,8,5
aerobowy,8,5
aerobox,7,4
aeroboxing,10,5
aerobus,7,4
aerocasco,9,5
aerodrom,8,4
aerodyna,8,5
aerodynamiczność,16,7
aerodynamiczny,14,7
aerodynamik,11,6
aerodynamika,12,7
aerodyspersyjny,15,7
aeroelastyczność,16,7
aeroembolizm,12,6
aeroenergetyczny,16,8
aeroenergetyka,14,8
aerofagia,9,5
aerofiltr,9,4
aerofobia,9,5
aerofon,7,4
aerofony,8,5
aerofor,7,4
aerofoto,8,5
aerofotografia,14,7
aerofotograficzny,17,8
aerofotogrametria,17,8
aerofotogrametryczny,20,9
aerogeofizyczny,15,8
aerograf,8,4
aerografia,10,5
aerograficzny,13,6
aerokinetyczny,14,7
aerokinetyka,12,7
aeroklub,8,4
aeroklubowy,11,6
aerolit,7,4
aerolog,7,4
aerologia,9,5
aerologiczny,12,6
aeromagnetometria,17,8
aeromancja,10,5
aeromechaniczny,15,7
aeromechanika,13,7
aerometr,8,4
aerometro,9,5
aeronauta,9,6
aeronautka,10,6
aeronautyczny,13,7
aeronautyka,11,7
aeronawigacja,13,7
aeronawigacyjny,15,8
aeronomia,9,5
aeronomiczny,12,6
aeropiktura,11,6
aeropittura,11,6
aeroplan,8,4
aeroplankton,12,5
aeroplanktonowy,15,7
aeroplanowy,11,6
aeroponiczny,12,6
aeroponika,10,6
aeroport,8,4
aeropres,8,4
aeropress,9,4
AeroPress,9,3
aerosanie,9,5
aerosiew,8,4
aeroskop,8,4
aerosol,7,4
aerosprężystość,15,6
aerosprężysty,13,6
aerostar,8,4
aerostat,8,4
aerostatek,10,5
aerostatyczny,13,6
aerostatyka,11,6
aerostep,8,4
aeroślizg,9,4
aerotaksja,10,5
aeroterapeutyczny,17,9
aeroterapia,11,6
aerotermiczny,13,6
aerotermochemia,15,7
aerotermodynamiczny,19,9
aerotermodynamika,17,9
aerotriangulacja,16,7
aerotriangulacyjny,18,8
aerotropizm,11,5
aerotyczność,12,5
aerotyczny,10,5
aerowinda,9,5
aerozoiczny,11,6
aerozol,7,4
aerozoloterapia,15,8
aerozolować,11,6
aerozolowy,10,6
aerożel,7,4
aerożelowy,10,6
aestetyczny,11,5
afabularność,12,5
afabularny,10,5
afagia,6,3
afaik,5,3
afair,5,3
afanizomenon,12,6
afatyczka,9,4
afatyczny,9,4
afatyk,6,3
afazja,6,3
afekcja,7,3
afekt,5,2
afekt,5,2
afektacja,9,4
afektacyjny,11,5
afektoterapeuta,15,8
afektoterapeutka,16,8
afektoterapeutyczny,19,9
afektoterapia,13,6
afektować,9,4
afektowany,10,5
afektowny,9,4
afektywny,9,4
afeliczny,9,4
afelium,7,3
afemia,6,3
afera,5,3
aferalność,10,4
aferalny,8,4
aferał,6,3
afereza,7,4
aferka,6,3
aferogenny,10,5
aferomania,10,5
aferowicz,9,4
aferowy,7,4
aferzysta,9,4
aferzystka,10,4
affabile,8,4
affanato,8,4
affannoso,9,4
affettuoso,10,5
affidavit,9,4
affirmatim,10,4
affrettando,11,4
affreux,7,3
afgan,5,2
afgani,6,3
afganiec,8,3
afganistański,13,5
afganistańskość,15,5
afgański,8,3
afgański,8,3
afgańskość,10,3
afghani,7,3
afibrynogenemia,15,7
aficionado,10,5
aficyd,6,3
afiguralny,10,5
afiks,5,2
afiksacja,9,4
afiksalny,9,4
afiliacja,9,4
afiliacyjny,11,5
afiliować,9,4
afinacja,8,4
afiniczny,9,4
afinować,8,4
afirmacja,9,4
afirmacyjny,11,5
afirmant,8,3
afirmatysta,11,5
afirmatywa,10,5
afirmatywny,11,5
afirmować,9,4
afisz,5,2
afiszować,9,4
afiszowy,8,4
afizjologiczny,14,6
afk,3,1
aflaston,8,3
aflatoksyna,11,5
afleksyjność,12,4
afleksyjny,10,4
afodos,6,3
afonia,6,3
afoniczny,9,4
aforysta,8,4
aforystka,9,4
aforystyczność,14,5
aforystyczny,12,5
aforystyka,10,5
aforyzm,7,3
aforyzmowy,10,5
afotyczny,9,4
afrakta,7,3
afrikaans,9,4
afro,4,2
afroamerykański,15,7
afroazjatycki,13,6
afrochrześcijański,18,6
afrochrześcijańskość,20,6
afrodyta,8,4
afrodyzjak,10,4
afrodyzjakalny,14,6
afrodyzje,9,4
afroeuropejski,14,7
afrokonwersja,13,5
afrokubański,12,5
afrologia,9,4
afront,6,2
afrontować,10,4
afropitek,9,4
afroreggae,10,5
afrorock,8,3
afryka,6,3
afrykaner,9,4
afrykanerka,11,5
afrykanerski,12,5
afrykanerskość,14,5
afrykaniec,10,4
afrykanista,11,5
afrykanistka,12,5
afrykanistyczny,15,6
afrykanistyka,13,6
afrykanizacja,13,6
afrykanizm,10,4
afrykanizować,13,6
afrykanolog,11,5
afrykanologia,13,6
afrykanologiczny,16,7
afrykański,10,4
afrykańskość,12,4
afrykarium,10,4
afrykata,8,4
afrykatyzacja,13,6
afryt,5,2
afta,4,2
after,5,2
afterbeat,9,4
afterek,7,3
afterka,7,3
afterować,9,4
afterownia,10,4
afterparty,10,4
afterpik,8,3
afterszok,9,3
aftersztag,10,3
aftonit,7,3
aftowy,6,3
aftyzacja,9,4
afunkcjonalność,15,5
aga,3,2
aga,3,2
agada,5,3
agadirczyk,10,4
agadirka,8,4
agadirski,9,4
agalit,6,3
agalitowy,9,5
agalmatolit,11,5
agama,5,3
agamatoploidalność,18,8
agameta,7,4
agamia,6,3
agammaglobulinemia,18,8
agamogonia,10,5
agamont,7,3
agamospermia,12,5
aganin,6,3
aganka,6,3
agańczyk,8,3
agański,7,3
agańskość,9,3
agapa,5,3
agapant,7,3
agape,5,3
agar,4,2
agarowy,7,4
agarycyna,9,5
agarycynowy,11,6
agat,4,2
agathodaimon,12,6
agatis,6,3
agatka,6,3
agatowy,7,4
agawa,5,3
agawowate,9,5
agawowaty,9,5
agawowy,7,4
ageism,6,3
ageista,7,4
ageistowski,11,5
ageistyczny,11,5
ageizm,6,3
agelasta,8,4
agema,5,3
agenciak,8,3
agenciarski,11,4
agencik,7,3
agencja,7,3
agencyjka,9,4
agencyjny,9,4
agenda,6,3
agendka,7,3
agendowy,8,4
agenezja,8,4
agens,5,2
agent,5,2
agent,5,2
agentivus,9,4
agentka,7,3
agentura,8,4
agenturalność,13,5
agenturalny,11,5
agenturka,9,4
agenturowy,10,5
agentywny,9,4
ageratum,8,4
agfa,4,2
aggio,5,2
aggiornamento,13,5
agila,5,3
agile,5,3
agilmente,9,4
agio,4,2
agitacja,8,4
agitacyjność,12,5
agitacyjny,10,5
agitato,7,4
agitator,8,4
agitator,8,4
agitatorka,10,5
agitatorski,11,5
agitatorskość,13,5
agitatorstwo,12,5
agitka,6,3
agitować,8,4
agitprop,8,3
aglet,5,2
aglikon,7,3
aglomeracja,11,5
aglomeracyjny,13,6
aglomerat,9,4
aglomerować,11,5
aglomerownia,12,5
aglomeryzować,13,6
agloporyt,9,4
aglutynacja,11,5
aglutynacyjność,15,6
aglutynacyjny,13,6
aglutynant,10,4
aglutynina,10,5
aglutyninowy,12,6
aglutynogen,11,5
aglutynować,11,5
agmatoploidalność,17,7
agmatoploidalny,15,7
agnacja,7,3
agnacki,7,3
agnackość,9,3
agnacyjny,9,4
agnat,5,2
agnatka,7,3
agnatyzm,8,3
agnihotra,9,4
agnostycystyczny,16,6
agnostycyzm,11,4
agnostyczka,11,4
agnostyczny,11,4
agnostyk,8,3
agnozja,7,3
agnus,5,2
agnusek,7,3
agogiczny,9,4
agogika,7,4
agogo,5,3
agon,4,2
agona,5,3
agonadyzm,9,4
agonalny,8,4
agonia,6,3
agoniczny,9,4
agonista,8,4
agonistyczny,12,5
agonistyka,10,5
agora,5,3
agora,5,3
agorafobia,10,5
agradacja,9,4
agradacyjny,11,5
agrafa,6,3
agrafa,6,3
agrafeczka,10,4
agrafia,7,3
agrafik,7,3
agrafka,7,3
agrafkowy,9,4
agrafon,7,3
agramatyczny,12,5
agramatyzm,10,4
agranulocyt,11,5
agranulocytoza,14,7
agrariusz,9,3
agrarnie,8,3
agrarny,7,3
agrarysta,9,4
agrarystka,10,4
agrarystyczny,13,5
agraryzm,8,3
agrawacja,9,4
agrawacyjny,11,5
agrawować,9,4
agreement,9,4
agregacja,9,4
agregacyjny,11,5
agregat,7,3
agregat,7,3
agregatka,9,4
agregator,9,4
agregatornia,12,5
agregatować,11,5
agregatownia,12,5
agregatowy,10,5
agrégé,6,1
agregować,9,4
agrément,8,2
agresja,7,3
agresor,7,3
agresorka,9,4
agrest,6,2
agrestowate,11,5
agrestowaty,11,5
agrestowiec,11,4
agrestowy,9,4
agresyjny,9,4
agresywniej,11,4
agresywniejszy,14,5
agresywność,11,4
agresywny,9,4
agreściak,9,3
agreśniak,9,3
agriofit,8,3
agrobiocenoza,13,6
agrobiolog,10,4
agrobiologia,12,6
agrobiologiczny,15,6
agrobiotechnologia,18,8
agrobiotyk,10,4
agrobiznes,10,4
agrobiznesmen,13,5
agrobiznesowy,13,6
agrocenoza,10,5
agrocentrum,11,4
agrochemia,10,4
agrochemiczny,13,5
agrochemik,10,4
agrochemikalia,14,6
agroekolog,10,5
agroekologia,12,6
agroekologiczny,15,7
agroekonometria,15,7
agroekonometryczny,18,8
agroekonometryk,15,7
agroekonomia,12,6
agroekosystem,13,6
agrofenologia,13,6
agrofizyczny,12,5
agrofizyk,9,4
agrofizyka,10,5
agrogaz,7,3
agrogeolog,10,5
agrogeologia,12,6
agrogeologiczny,15,7
agroklimatolog,14,6
agroklimatologia,16,7
agroklimatologiczny,19,8
agrokombinat,12,5
agrokompleks,12,4
agrokultura,11,5
agrokulturowy,13,6
agrolobby,9,4
agrolotnictwo,13,5
agrolotniczka,13,5
agrolotniczy,12,5
agrolotnik,10,4
agromechaniczny,15,6
agromelioracja,14,6
agromelioracyjny,16,7
agromeliorant,13,5
agromeliorantka,15,6
agrometeorolog,14,7
agrometeorologia,16,8
agrometeorologiczny,19,9
agrometr,8,3
agromiasto,10,4
agrominimum,11,5
agronom,7,3
agronomia,9,4
agronomiczny,12,5
agronomka,9,4
agronomówka,11,5
agrorafineria,13,6
agrotechniczny,14,5
agrotechnik,11,4
agrotechnika,12,5
agrotroniczny,13,5
agrotronika,11,5
agrotuning,10,4
agrotuningowy,13,6
agroturysta,11,5
agroturystka,12,5
agroturystyczny,15,6
agroturystyka,13,6
agroturyzm,10,4
agrowczasy,10,4
agrowłóknina,12,5
agrowypoczynek,14,6
agryjczyk,9,3
agryjka,7,3
agryjski,8,3
agrykultura,11,5
aguti,5,3
aha,3,2
ahermatypowy,12,6
ahimsa,6,3
ahinsa,6,3
ahistorycyzm,12,5
ahistoryczność,14,5
ahistoryczny,12,5
ahistoryzm,10,4
ahmadabadzki,12,5
ahmadija,8,4
ahmadijja,9,4
ahoj,4,2
ahumanistyczny,14,6
aideologiczność,15,7
aideologiczny,13,7
aids,4,2
aidsowiec,9,4
aidsowy,7,4
aigikranion,11,5
aigu,4,3
aikido,6,4
aikidoczka,10,5
aikidoka,8,5
aikoniczny,10,5
ailant,6,3
ailloli,7,4
aintelektualizm,15,7
aintelektualny,14,7
aioli,5,3
air,3,2
airbag,6,3
airbus,6,3
ais,3,2
aisis,5,3
aixam,5,3
aizkolaris,10,5
aj,2,1
aja,3,2
ajaj,4,2
ajajaj,6,3
ajaks,5,2
ajat,4,2
ajatollah,9,4
ajax,4,2
ajchmofobia,11,4
ajć,3,1
ajencja,7,3
ajencyjny,9,4
ajent,5,2
ajentka,7,3
ajentura,8,4
ajer,4,2
ajerkoniak,10,4
ajerkoniakowy,13,6
ajerowy,7,4
ajerówka,8,4
ajfon,5,2
ajguński,8,3
ajguńskość,10,3
ajkować,7,3
ajlant,6,2
ajmak,5,2
ajmara,6,3
ajmarski,8,3
ajnoski,7,3
ajnoskość,9,3
ajnsztajn,9,2
ajnsztajn,9,2
ajowan,6,3
ajran,5,2
ajtiologia,10,5
ajtiologiczny,13,5
ajurweda,8,4
ajurwedyczny,12,5
ajurwedyjski,12,5
ajurwedyjskość,14,5
ajuści,6,3
ajvar,5,2
ajwar,5,2
akacja,6,3
akacjowiec,10,4
akacjowy,8,4
akać,4,2
akademia,8,4
akademicki,10,5
akademickość,12,5
